	feature_id	axis	embed_type	values
305	NH4_C56:4 TAG	0	metabolite	0.3309175670146942
306	NH4_C56:6 TAG	0	metabolite	1.163216471672058
307	NMMA	0	metabolite	1.7367992401123047
308	S-adenosylmethionine	0	metabolite	1.933038353919983
309	S-methylcysteine-S-oxide	0	metabolite	3.485334873199463
310	UMP	0	metabolite	1.7592211961746216
311	acesulfame	0	metabolite	2.040501832962036
312	acetaminophen	0	metabolite	1.3632458448410034
313	acetyl-galactosamine	0	metabolite	3.184180498123169
314	acetylalanine	0	metabolite	2.054863691329956
315	acetylcholine	0	metabolite	2.0042827129364014
316	acetytyrosine	0	metabolite	1.9489169120788574
317	adenine	0	metabolite	0.2351074069738388
318	adenosine	0	metabolite	-0.7587181329727173
319	adipate	0	metabolite	1.5521032810211182
320	adrenate	0	metabolite	0.2509060800075531
321	agmatine	0	metabolite	-0.15511058270931244
322	alanine	0	metabolite	0.44164565205574036
323	alanylalanine	0	metabolite	0.9728653430938721
324	alloisoleucine	0	metabolite	2.4304873943328857
325	alpha-CEHC	0	metabolite	2.608151912689209
326	alpha-glycerophosphate	0	metabolite	1.226422905921936
327	alpha-glycerophosphocholine	0	metabolite	-0.11567428708076477
328	alpha-hydroxymetoprolol	0	metabolite	0.23147337138652802
329	alpha-ketoglutarate	0	metabolite	0.06984387338161469
330	alpha-ketoisovalerate	0	metabolite	2.2287070751190186
331	alpha-linolenate	0	metabolite	0.009279536083340645
332	alpha-muricholate	0	metabolite	0.3004100024700165
333	aminoisobutyric acid/GABA	0	metabolite	-1.3826626539230347
334	anserine	0	metabolite	1.285798192024231
335	arachidate	0	metabolite	2.254838705062866
336	arachidonate	0	metabolite	0.41770079731941223
337	arginine	0	metabolite	-0.48552456498146057
338	ascorbate	0	metabolite	0.76563960313797
